arch,task,seed,beta_pi,lambda_pi,gamma,features,qrc_val_nmse,qrc_test_nmse,qrc_alpha,n,layers,topology,mixer,input_mode,channel,task_profile,esn_val_nmse,esn_test_nmse,esn_alpha,sr,input_scale,leak,units,delta_esn_minus_qrc,qrc_wins,qrc_selected_short,esn100_selected_short
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,42,0.03,0.125,0.08,96,1.1286083096702105e-05,1.3500327213862394e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,5.58346689429869e-07,5.945854041771054e-07,1e-08,0.9,0.1,1.0,100,-1.2905741809685289e-05,False,0.030/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,43,0.03,0.125,0.08,96,8.596797040363672e-06,1.045211969717812e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,4.401451449592472e-07,6.163240225598914e-07,1e-08,0.9,0.1,1.0,100,-9.835795674618228e-06,False,0.030/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,44,0.03,0.125,0.08,96,1.0183940142010942e-05,1.2806165177581291e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,7.325546268138828e-07,8.696242235746736e-07,1e-08,0.9,0.1,1.0,100,-1.1936540954006618e-05,False,0.030/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,45,0.03,0.125,0.08,96,9.454457059538516e-06,1.1642164110994e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,6.295414918291262e-07,7.052308283271638e-07,1e-08,0.9,0.1,1.0,100,-1.0936933282666837e-05,False,0.030/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,46,0.03,0.125,0.08,96,6.2830845932891325e-06,7.6606320710867e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,6.880267247696917e-07,9.539559762806037e-07,1e-08,0.9,0.1,1.0,100,-6.706676094806096e-06,False,0.030/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,47,0.03,0.125,0.08,96,3.924482597510149e-06,4.6348825915032345e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,6.139123918892985e-07,8.374784608554573e-07,1e-08,0.9,0.1,1.0,100,-3.797404130647777e-06,False,0.030/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,48,0.03,0.125,0.08,96,2.8157464136822453e-06,3.551566686980736e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,7.922422936446102e-07,9.518922137597154e-07,1e-08,0.9,0.1,1.0,100,-2.5996744732210204e-06,False,0.030/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,49,0.03,0.125,0.08,96,7.48238178705107e-06,9.297663809401533e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,5.560575906857693e-07,6.075742786113378e-07,1e-08,0.9,0.1,1.0,100,-8.690089530790194e-06,False,0.030/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,50,0.03,0.125,0.08,96,1.493565171231505e-05,1.788491551071408e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,8.159766291400349e-07,8.110791360521731e-07,1e-08,0.9,0.1,1.0,100,-1.7073836374661908e-05,False,0.030/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,51,0.03,0.125,0.08,96,3.738156215298232e-06,4.401094067471966e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,5.530130451200166e-07,7.653211261702531e-07,1e-08,0.9,0.1,1.0,100,-3.6357729413017127e-06,False,0.030/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,42,0.03,0.125,0.12,96,7.019834025454413e-06,3.1117610932573547e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,2.316936409323359e-09,1.549271899307827e-09,1e-08,0.5,0.5,1.0,100,-3.1102118213580466e-06,False,0.030/0.125/0.120,0.5/0.5/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,43,0.03,0.125,0.12,96,1.0977139093786668e-05,4.51716489059374e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,4.35230998796561e-09,2.5919624790229062e-09,1e-08,0.5,0.5,1.0,100,-4.514572928114717e-06,False,0.030/0.125/0.120,0.5/0.5/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,44,0.03,0.125,0.12,96,1.0781384074396375e-05,4.009123913278856e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,1.8853218850516387e-09,1.876156883004516e-09,1e-08,0.5,0.5,1.0,100,-4.007247756395852e-06,False,0.030/0.125/0.120,0.5/0.5/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,45,0.03,0.125,0.12,96,6.8066301899145215e-06,3.0676463105777545e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,4.340742692115115e-09,3.457261944267051e-09,1e-08,0.5,0.5,1.0,100,-3.0641890486334874e-06,False,0.030/0.125/0.120,0.5/0.5/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,46,0.03,0.125,0.12,96,3.1483975610582057e-06,1.4339330121773895e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,4.882862222881439e-09,4.894215457581279e-09,1e-08,0.5,0.5,1.0,100,-1.4290387967198083e-06,False,0.030/0.125/0.120,0.5/0.5/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,47,0.03,0.125,0.12,96,2.9210477467179276e-06,1.1845433502968033e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,7.455318152499544e-09,7.393474622076953e-09,1e-08,0.5,0.5,1.0,100,-1.1771498756747262e-06,False,0.030/0.125/0.120,0.5/0.5/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,48,0.03,0.125,0.12,96,2.922110325310631e-06,9.09625418810791e-07,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,3.75499057335546e-09,3.0562380331767283e-09,1e-08,0.5,0.5,1.0,100,-9.065691807776143e-07,False,0.030/0.125/0.120,0.5/0.5/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,49,0.03,0.125,0.12,96,4.305922825125459e-06,1.5487126690387249e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,3.537484939603606e-09,2.277736777382056e-09,1e-08,0.5,0.5,1.0,100,-1.5464349322613427e-06,False,0.030/0.125/0.120,0.5/0.5/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,50,0.03,0.125,0.12,96,9.168678749049232e-06,2.779404562951324e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,2.579358873759729e-09,2.049271148670103e-09,1e-08,0.5,0.5,1.0,100,-2.777355291802654e-06,False,0.030/0.125/0.120,0.5/0.5/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,51,0.03,0.125,0.12,96,2.810031775612521e-06,1.3602122392571509e-06,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,5.992596913593515e-09,4.035627422296891e-09,1e-08,0.5,0.5,1.0,100,-1.356176611834854e-06,False,0.030/0.125/0.120,0.5/0.5/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,42,0.02,0.125,0.08,96,0.1107532606048204,0.1438664764080924,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1450311532769894,0.1829544851219022,0.01,0.9,0.1,1.0,100,0.039088008713809824,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,43,0.02,0.125,0.08,96,0.1187321551271123,0.1280877226447193,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1367964453601346,0.1844185589719142,0.01,0.9,0.1,1.0,100,0.056330836327194905,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,44,0.02,0.125,0.08,96,0.1115940917251285,0.1292986416982918,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1666658975365222,0.2089437630196285,0.01,0.9,0.1,1.0,100,0.07964512132133669,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,45,0.02,0.125,0.08,96,0.1153223726919133,0.1283952030448364,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1437252287478814,0.257174905096767,0.01,0.9,0.1,1.0,100,0.1287797020519306,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,46,0.02,0.125,0.08,96,0.1224463472229507,0.1300626708815938,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1621234230521668,0.2722456738433708,0.0001,0.9,0.1,1.0,100,0.142183002961777,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,47,0.02,0.125,0.08,96,0.1163262484832492,0.1055626833638657,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1391734535191575,0.2133149488803528,0.001,0.9,0.1,1.0,100,0.10775226551648709,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,48,0.02,0.125,0.08,96,0.1211316206032942,0.1438125897423459,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1461123358239034,0.2288583606327073,0.01,0.9,0.1,1.0,100,0.08504577089036139,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,49,0.02,0.125,0.08,96,0.1017428658657523,0.0992038908114672,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1364522511826437,0.1879287883910073,0.001,0.9,0.1,1.0,100,0.0887248975795401,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,50,0.02,0.125,0.08,96,0.1122061324621721,0.0996844465821731,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1421003249321535,0.2282445757220796,0.01,0.9,0.1,1.0,100,0.1285601291399065,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,51,0.02,0.125,0.08,96,0.1260213504190685,0.1356222065710179,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1444237679759459,0.1971104201711357,0.01,0.9,0.1,1.0,100,0.0614882136001178,True,0.020/0.125/0.080,0.9/0.1/1.0
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,42,0.01,0.035,0.1,96,0.1466243919975853,0.1910730213122658,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1686604468126924,0.1957376375595077,1e-06,0.5,0.1,0.3,100,0.004664616247241904,True,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,43,0.01,0.035,0.1,96,0.1482338021172349,0.1747575621318593,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.179991183873154,0.2110327847953464,0.001,0.5,0.1,0.3,100,0.036275222663487094,True,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,44,0.01,0.035,0.1,96,0.1411175672739214,0.1844884588151193,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.177791510892903,0.1890964605039991,0.001,0.5,0.1,0.3,100,0.004608001688879787,True,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,45,0.01,0.035,0.1,96,0.1404361102261961,0.1763380110444421,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1751034809166797,0.1649540853814619,1e-05,0.5,0.1,0.3,100,-0.011383925662980215,False,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,46,0.01,0.035,0.1,96,0.1435810657380352,0.19147016459393,1e-06,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1749414297588042,0.1788345443954782,1e-05,0.5,0.1,0.3,100,-0.012635620198451797,False,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,47,0.01,0.035,0.1,96,0.1544294993091092,0.1950056600944553,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.173839701064623,0.1945389819348635,0.001,0.5,0.1,0.3,100,-0.00046667815959181014,False,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,48,0.01,0.035,0.1,96,0.1437425194988969,0.1767008875584149,1e-06,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1623930323067217,0.3324588851964317,1e-08,0.5,0.1,0.3,100,0.1557579976380168,True,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,49,0.01,0.035,0.1,96,0.1461085216350312,0.1919537203800597,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1768145600027052,0.2011714018881659,0.001,0.5,0.1,0.3,100,0.009217681508106201,True,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,50,0.01,0.035,0.1,96,0.1435270482137017,0.1847182212225246,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1718468328766172,0.1812282472056572,1e-06,0.5,0.1,0.3,100,-0.003489974016867403,False,0.010/0.035/0.100,0.5/0.1/0.3
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,51,0.01,0.035,0.1,96,0.1440565574199956,0.1809994762945284,1e-05,4,2,ring,rx_zz_rx,uniform,amplitude,paperish,0.1725465423919316,0.2131475479163453,1e-06,0.5,0.1,0.3,100,0.032148071621816904,True,0.010/0.035/0.100,0.5/0.1/0.3
