family,seed,beta_pi,lambda_pi,gamma,MC
QRC,44,0.0,0.0,0.05,0.0
QRC,44,0.0,0.0,0.12,0.0
QRC,44,0.0,0.0,0.22,0.0
QRC,44,0.0,0.0,0.3,0.0
QRC,44,0.0,0.05,0.0,0.0
QRC,44,0.0,0.05,0.05,0.0
QRC,44,0.0,0.05,0.12,0.0
QRC,44,0.0,0.05,0.22,0.0
QRC,44,0.0,0.05,0.3,0.0
QRC,44,0.0,0.1,0.0,0.0
QRC,44,0.0,0.1,0.05,0.0
QRC,44,0.0,0.1,0.12,0.0
QRC,44,0.0,0.1,0.22,0.0
QRC,44,0.0,0.1,0.3,0.0
QRC,44,0.0,0.12,0.0,0.0
QRC,44,0.0,0.12,0.05,0.0
QRC,44,0.0,0.12,0.12,0.0
QRC,44,0.0,0.12,0.22,0.0
QRC,44,0.0,0.12,0.3,0.0
QRC,44,0.0,0.16,0.0,0.0
QRC,44,0.0,0.16,0.05,0.0
QRC,44,0.0,0.16,0.12,0.0
QRC,44,0.0,0.16,0.22,0.0
QRC,44,0.0,0.16,0.3,0.0
QRC,44,0.0,0.28,0.0,0.0
QRC,44,0.0,0.28,0.05,0.0
QRC,44,0.0,0.28,0.12,0.0
QRC,44,0.0,0.28,0.22,0.0
QRC,44,0.0,0.28,0.3,0.0
QRC,44,0.0,0.42,0.0,0.0
QRC,44,0.0,0.42,0.05,0.0
QRC,44,0.0,0.42,0.12,0.0
QRC,44,0.0,0.42,0.22,0.0
QRC,44,0.0,0.42,0.3,0.0
QRC,44,0.02,0.0,0.0,0.0
QRC,44,0.02,0.0,0.05,0.0
QRC,44,0.02,0.0,0.12,0.0
QRC,44,0.02,0.0,0.22,0.0
QRC,44,0.02,0.0,0.3,0.0
QRC,44,0.02,0.05,0.0,0.0
QRC,44,0.02,0.05,0.05,10.42106720849398
QRC,44,0.02,0.05,0.12,10.170315605794706
QRC,44,0.02,0.05,0.22,8.240318610124147
QRC,44,0.02,0.05,0.3,6.740108194432267
QRC,44,0.02,0.1,0.0,0.0
QRC,44,0.02,0.1,0.05,12.963288940442595
QRC,44,0.02,0.1,0.12,11.225788237499696
QRC,44,0.02,0.1,0.22,8.600875009965469
QRC,44,0.02,0.1,0.3,7.137667332866556
QRC,44,0.02,0.12,0.0,0.0193414198922595
QRC,44,0.02,0.12,0.05,12.700983156116546
QRC,44,0.02,0.12,0.12,10.426969153139323
QRC,44,0.02,0.12,0.22,8.338729800298802
QRC,44,0.02,0.12,0.3,7.140484269482941
QRC,44,0.02,0.16,0.0,0.0
QRC,44,0.02,0.16,0.05,11.901396212929878
QRC,44,0.02,0.16,0.12,9.32252679628667
QRC,44,0.02,0.16,0.22,7.170043275603975
QRC,44,0.02,0.16,0.3,6.576249221232688
QRC,44,0.02,0.28,0.0,0.0
QRC,44,0.02,0.28,0.05,9.589880033503633
QRC,44,0.02,0.28,0.12,7.647642360550015
QRC,44,0.02,0.28,0.22,6.259384653124779
QRC,44,0.02,0.28,0.3,5.535055820312159
QRC,44,0.02,0.42,0.0,0.0
QRC,44,0.02,0.42,0.05,11.22936240951704
QRC,44,0.02,0.42,0.12,11.457405946336433
QRC,44,0.02,0.42,0.22,8.901054009841987
QRC,44,0.02,0.42,0.3,7.242287517299085
QRC,44,0.04,0.0,0.0,0.0
QRC,44,0.04,0.0,0.05,0.0
QRC,44,0.04,0.0,0.12,0.0
QRC,44,0.04,0.0,0.22,0.0
QRC,44,0.04,0.0,0.3,0.0
QRC,44,0.04,0.05,0.0,0.0
QRC,44,0.04,0.05,0.05,9.303340922102306
QRC,44,0.04,0.05,0.12,8.858681177373361
QRC,44,0.04,0.05,0.22,7.43499082673371
QRC,44,0.04,0.05,0.3,6.4815720485157815
QRC,44,0.04,0.1,0.0,0.0
QRC,44,0.04,0.1,0.05,11.095612184878542
QRC,44,0.04,0.1,0.12,9.548755729222746
QRC,44,0.04,0.1,0.22,7.672049838773459
QRC,44,0.04,0.1,0.3,6.350814847753184
QRC,44,0.04,0.12,0.0,0.0
QRC,44,0.04,0.12,0.05,10.75487758832385
QRC,44,0.04,0.12,0.12,8.93049823608445
QRC,44,0.04,0.12,0.22,7.508270949972265
QRC,44,0.04,0.12,0.3,6.258075201283256
QRC,44,0.04,0.16,0.0,0.0
QRC,44,0.04,0.16,0.05,10.125319341281282
QRC,44,0.04,0.16,0.12,7.748558253446991
QRC,44,0.04,0.16,0.22,6.384947490302549
QRC,44,0.04,0.16,0.3,5.815095456361771
QRC,44,0.04,0.28,0.0,0.0
QRC,44,0.04,0.28,0.05,7.678915373960139
QRC,44,0.04,0.28,0.12,6.47091940635745
QRC,44,0.04,0.28,0.22,5.707213489084433
QRC,44,0.04,0.28,0.3,5.327905994487088
QRC,44,0.04,0.42,0.0,0.0
QRC,44,0.04,0.42,0.05,9.23387880727469
QRC,44,0.04,0.42,0.12,9.677200768806545
QRC,44,0.04,0.42,0.22,7.741710059426878
QRC,44,0.04,0.42,0.3,6.399212345363539
QRC,44,0.07,0.0,0.0,0.0
QRC,44,0.07,0.0,0.05,0.0
QRC,44,0.07,0.0,0.12,0.0
QRC,44,0.07,0.0,0.22,0.0
QRC,44,0.07,0.0,0.3,0.0
QRC,44,0.07,0.05,0.0,0.0
QRC,44,0.07,0.05,0.05,7.864794705903587
QRC,44,0.07,0.05,0.12,7.638721278060005
QRC,44,0.07,0.05,0.22,6.503295467471451
QRC,44,0.07,0.05,0.3,5.603845631862625
QRC,44,0.07,0.1,0.0,0.0
QRC,44,0.07,0.1,0.05,9.091611360747518
QRC,44,0.07,0.1,0.12,8.191097266588578
QRC,44,0.07,0.1,0.22,6.6715411087311205
QRC,44,0.07,0.1,0.3,5.390282502916788
QRC,44,0.07,0.12,0.0,0.0052730967279072
QRC,44,0.07,0.12,0.05,8.836163024104476
QRC,44,0.07,0.12,0.12,7.719743272583182
QRC,44,0.07,0.12,0.22,6.508480496012913
QRC,44,0.07,0.12,0.3,5.294398145982791
QRC,44,0.07,0.16,0.0,0.0
QRC,44,0.07,0.16,0.05,7.9029878576572115
QRC,44,0.07,0.16,0.12,6.393382267835905
QRC,44,0.07,0.16,0.22,5.467864586399534
QRC,44,0.07,0.16,0.3,4.871464466079253
QRC,44,0.07,0.28,0.0,0.0
QRC,44,0.07,0.28,0.05,5.952318135996496
QRC,44,0.07,0.28,0.12,5.419333320301574
QRC,44,0.07,0.28,0.22,5.013133760650546
QRC,44,0.07,0.28,0.3,4.498682225487983
QRC,44,0.07,0.42,0.0,0.0048869276785694
QRC,44,0.07,0.42,0.05,7.3316667088617375
QRC,44,0.07,0.42,0.12,7.98160611779842
QRC,44,0.07,0.42,0.22,6.645673573321668
QRC,44,0.07,0.42,0.3,5.386169716583501
QRC,44,0.1,0.0,0.0,0.0
QRC,44,0.1,0.0,0.05,0.0
QRC,44,0.1,0.0,0.12,0.0
QRC,44,0.1,0.0,0.22,0.0
QRC,44,0.1,0.0,0.3,0.0
QRC,44,0.1,0.05,0.0,0.0
QRC,44,0.1,0.05,0.05,6.593934283061061
QRC,44,0.1,0.05,0.12,6.544877221659
QRC,44,0.1,0.05,0.22,5.612822889297096
QRC,44,0.1,0.05,0.3,4.894916695651283
QRC,44,0.1,0.1,0.0,0.0061184601900391
QRC,44,0.1,0.1,0.05,7.681779267169252
QRC,44,0.1,0.1,0.12,7.233638257679763
QRC,44,0.1,0.1,0.22,5.81898269013859
QRC,44,0.1,0.1,0.3,4.727066831630072
QRC,44,0.1,0.12,0.0,0.0
QRC,44,0.1,0.12,0.05,7.543799335575295
QRC,44,0.1,0.12,0.12,6.860912336331023
QRC,44,0.1,0.12,0.22,5.673628909572807
QRC,44,0.1,0.12,0.3,4.619154227848022
QRC,44,0.1,0.16,0.0,0.0
QRC,44,0.1,0.16,0.05,6.407481486139579
QRC,44,0.1,0.16,0.12,5.49365012122943
QRC,44,0.1,0.16,0.22,4.746358478316769
QRC,44,0.1,0.16,0.3,4.251463579073067
QRC,44,0.1,0.28,0.0,0.0
QRC,44,0.1,0.28,0.05,4.84447889614393
QRC,44,0.1,0.28,0.12,4.620557031720596
QRC,44,0.1,0.28,0.22,4.266714134406294
QRC,44,0.1,0.28,0.3,3.7961252234039495
QRC,44,0.1,0.42,0.0,0.0
QRC,44,0.1,0.42,0.05,5.879172240341544
QRC,44,0.1,0.42,0.12,6.754269379734224
QRC,44,0.1,0.42,0.22,5.721980732365273
QRC,44,0.1,0.42,0.3,4.7515761452477925
QRC,44,0.22,0.0,0.0,0.0
QRC,44,0.22,0.0,0.05,0.0
QRC,44,0.22,0.0,0.12,0.0
QRC,44,0.22,0.0,0.22,0.0
QRC,44,0.22,0.0,0.3,0.0
QRC,44,0.22,0.05,0.0,0.0
QRC,44,0.22,0.05,0.05,2.6925653630614934
QRC,44,0.22,0.05,0.12,3.4221888211733096
QRC,44,0.22,0.05,0.22,3.626380819383013
QRC,44,0.22,0.05,0.3,3.362060016759695
QRC,44,0.22,0.1,0.0,0.0
QRC,44,0.22,0.1,0.05,3.942714212636591
QRC,44,0.22,0.1,0.12,4.323546159400656
QRC,44,0.22,0.1,0.22,3.489296583232478
QRC,44,0.22,0.1,0.3,3.198569738532786
QRC,44,0.22,0.12,0.0,0.0
QRC,44,0.22,0.12,0.05,4.193860023441399
QRC,44,0.22,0.12,0.12,4.205754412962259
QRC,44,0.22,0.12,0.22,3.3386967241708163
QRC,44,0.22,0.12,0.3,3.046227429767004
QRC,44,0.22,0.16,0.0,0.0
QRC,44,0.22,0.16,0.05,3.571988017998633
QRC,44,0.22,0.16,0.12,3.581027065955974
QRC,44,0.22,0.16,0.22,3.0958564670033084
QRC,44,0.22,0.16,0.3,2.9290902932168037
QRC,44,0.22,0.28,0.0,0.0
QRC,44,0.22,0.28,0.05,2.282824755904276
QRC,44,0.22,0.28,0.12,2.574205489316311
QRC,44,0.22,0.28,0.22,2.581618939878373
QRC,44,0.22,0.28,0.3,2.670363471620897
QRC,44,0.22,0.42,0.0,0.0
QRC,44,0.22,0.42,0.05,3.2004690272839253
QRC,44,0.22,0.42,0.12,3.842203960214304
QRC,44,0.22,0.42,0.22,3.5138819748425973
QRC,44,0.22,0.42,0.3,3.1408525343849623
QRC,44,0.5,0.0,0.0,0.0
QRC,44,0.5,0.0,0.05,0.0
QRC,44,0.5,0.0,0.12,0.0
QRC,44,0.5,0.0,0.22,0.0
QRC,44,0.5,0.0,0.3,0.0
QRC,44,0.5,0.05,0.0,0.0
QRC,44,0.5,0.05,0.05,0.6630544861454208
QRC,44,0.5,0.05,0.12,0.9750991009462155
QRC,44,0.5,0.05,0.22,1.2975254442589796
QRC,44,0.5,0.05,0.3,1.465004076704176
QRC,44,0.5,0.1,0.0,0.0
QRC,44,0.5,0.1,0.05,1.1973866748199158
QRC,44,0.5,0.1,0.12,1.3260296038115342
QRC,44,0.5,0.1,0.22,1.3905568728854083
QRC,44,0.5,0.1,0.3,1.3493983683407036
QRC,44,0.5,0.12,0.0,0.0
QRC,44,0.5,0.12,0.05,1.1243763850098063
QRC,44,0.5,0.12,0.12,1.284429424780544
QRC,44,0.5,0.12,0.22,1.3398322910970948
QRC,44,0.5,0.12,0.3,1.3326237810397945
QRC,44,0.5,0.16,0.0,0.0
QRC,44,0.5,0.16,0.05,0.9966084109609292
QRC,44,0.5,0.16,0.12,1.250956634722558
QRC,44,0.5,0.16,0.22,1.2766765845853194
QRC,44,0.5,0.16,0.3,1.29028041710679
QRC,44,0.5,0.28,0.0,0.0
QRC,44,0.5,0.28,0.05,0.7855633967242063
QRC,44,0.5,0.28,0.12,1.174451902416686
QRC,44,0.5,0.28,0.22,1.1630536585998694
QRC,44,0.5,0.28,0.3,1.11629419485633
QRC,44,0.5,0.42,0.0,0.0
QRC,44,0.5,0.42,0.05,1.1251276224684728
QRC,44,0.5,0.42,0.12,1.445511485850682
QRC,44,0.5,0.42,0.22,1.5479166637197364
QRC,44,0.5,0.42,0.3,1.5130449121268876
QRC,45,0.0,0.0,0.0,0.0
QRC,45,0.0,0.0,0.05,0.0
QRC,45,0.0,0.0,0.12,0.0
QRC,45,0.0,0.0,0.22,0.0
QRC,45,0.0,0.0,0.3,0.0
QRC,45,0.0,0.05,0.0,0.0
QRC,45,0.0,0.05,0.05,0.0
QRC,45,0.0,0.05,0.12,0.0
QRC,45,0.0,0.05,0.22,0.0
QRC,45,0.0,0.05,0.3,0.0
QRC,45,0.0,0.1,0.0,0.0
QRC,45,0.0,0.1,0.05,0.0
QRC,45,0.0,0.1,0.12,0.0
QRC,45,0.0,0.1,0.22,0.0
QRC,45,0.0,0.1,0.3,0.0
QRC,45,0.0,0.12,0.0,0.0
QRC,45,0.0,0.12,0.05,0.0
QRC,45,0.0,0.12,0.12,0.0
QRC,45,0.0,0.12,0.22,0.0
QRC,45,0.0,0.12,0.3,0.0
QRC,45,0.0,0.16,0.0,0.0
QRC,45,0.0,0.16,0.05,0.0
QRC,45,0.0,0.16,0.12,0.0
QRC,45,0.0,0.16,0.22,0.0
QRC,45,0.0,0.16,0.3,0.0
QRC,45,0.0,0.28,0.0,0.0
QRC,45,0.0,0.28,0.05,0.0
QRC,45,0.0,0.28,0.12,0.0
QRC,45,0.0,0.28,0.22,0.0
QRC,45,0.0,0.28,0.3,0.0
QRC,45,0.0,0.42,0.0,0.0
QRC,45,0.0,0.42,0.05,0.0
QRC,45,0.0,0.42,0.12,0.0
QRC,45,0.0,0.42,0.22,0.0
QRC,45,0.0,0.42,0.3,0.0
QRC,45,0.02,0.0,0.0,0.0
QRC,45,0.02,0.0,0.05,0.0
QRC,45,0.02,0.0,0.12,0.0
QRC,45,0.02,0.0,0.22,0.0
QRC,45,0.02,0.0,0.3,0.0
QRC,45,0.02,0.05,0.0,0.0
QRC,45,0.02,0.05,0.05,9.48413165895011
QRC,45,0.02,0.05,0.12,9.348970753829434
QRC,45,0.02,0.05,0.22,7.546344847001942
QRC,45,0.02,0.05,0.3,6.704199033335756
QRC,45,0.02,0.1,0.0,0.0
QRC,45,0.02,0.1,0.05,9.89280624561446
QRC,45,0.02,0.1,0.12,9.115380523657636
QRC,45,0.02,0.1,0.22,7.031822789023953
QRC,45,0.02,0.1,0.3,5.616052386618876
QRC,45,0.02,0.12,0.0,0.0
QRC,45,0.02,0.12,0.05,8.918528525129199
QRC,45,0.02,0.12,0.12,8.19274703131341
QRC,45,0.02,0.12,0.22,6.516357820899732
QRC,45,0.02,0.12,0.3,5.335598843732944
QRC,45,0.02,0.16,0.0,0.0
QRC,45,0.02,0.16,0.05,10.083166948331913
QRC,45,0.02,0.16,0.12,7.823148459618586
QRC,45,0.02,0.16,0.22,6.079506930417301
QRC,45,0.02,0.16,0.3,5.181514789926566
QRC,45,0.02,0.28,0.0,0.0
QRC,45,0.02,0.28,0.05,8.642080419243714
QRC,45,0.02,0.28,0.12,7.27519069905712
QRC,45,0.02,0.28,0.22,5.083596508768366
QRC,45,0.02,0.28,0.3,4.485473056009172
QRC,45,0.02,0.42,0.0,0.0
QRC,45,0.02,0.42,0.05,9.668607158825116
QRC,45,0.02,0.42,0.12,9.561225904355105
QRC,45,0.02,0.42,0.22,7.378147446181423
QRC,45,0.02,0.42,0.3,6.021258218111194
QRC,45,0.04,0.0,0.0,0.0
QRC,45,0.04,0.0,0.05,0.0
QRC,45,0.04,0.0,0.12,0.0
QRC,45,0.04,0.0,0.22,0.0
QRC,45,0.04,0.0,0.3,0.0
QRC,45,0.04,0.05,0.0,0.0
QRC,45,0.04,0.05,0.05,7.775335510385231
QRC,45,0.04,0.05,0.12,8.060669869222586
QRC,45,0.04,0.05,0.22,6.502895059136737
QRC,45,0.04,0.05,0.3,6.178729959705311
QRC,45,0.04,0.1,0.0,0.0
QRC,45,0.04,0.1,0.05,8.638304467439072
QRC,45,0.04,0.1,0.12,7.829496050117477
QRC,45,0.04,0.1,0.22,6.054941253040387
QRC,45,0.04,0.1,0.3,5.1806005777959525
QRC,45,0.04,0.12,0.0,0.0
QRC,45,0.04,0.12,0.05,7.896983213514631
QRC,45,0.04,0.12,0.12,7.043446261127018
QRC,45,0.04,0.12,0.22,6.038940811661148
QRC,45,0.04,0.12,0.3,5.1680230512103975
QRC,45,0.04,0.16,0.0,0.0
QRC,45,0.04,0.16,0.05,8.676013498704021
QRC,45,0.04,0.16,0.12,6.85878726951735
QRC,45,0.04,0.16,0.22,5.569537324224397
QRC,45,0.04,0.16,0.3,5.13106849346169
QRC,45,0.04,0.28,0.0,0.0
QRC,45,0.04,0.28,0.05,7.300065411069638
QRC,45,0.04,0.28,0.12,6.3446145263577325
QRC,45,0.04,0.28,0.22,4.80873910862094
QRC,45,0.04,0.28,0.3,4.337364329148503
QRC,45,0.04,0.42,0.0,0.0
QRC,45,0.04,0.42,0.05,8.44131387816294
QRC,45,0.04,0.42,0.12,8.412144645957982
QRC,45,0.04,0.42,0.22,6.44402293022686
QRC,45,0.04,0.42,0.3,5.634855352550799
QRC,45,0.07,0.0,0.0,0.0
QRC,45,0.07,0.0,0.05,0.0
QRC,45,0.07,0.0,0.12,0.0
QRC,45,0.07,0.0,0.22,0.0
QRC,45,0.07,0.0,0.3,0.0
QRC,45,0.07,0.05,0.0,0.0
QRC,45,0.07,0.05,0.05,6.225226822459618
QRC,45,0.07,0.05,0.12,6.561956949106592
QRC,45,0.07,0.05,0.22,5.691917596875364
QRC,45,0.07,0.05,0.3,5.566164421784927
QRC,45,0.07,0.1,0.0,0.0
QRC,45,0.07,0.1,0.05,7.160011010832855
QRC,45,0.07,0.1,0.12,6.462729873637716
QRC,45,0.07,0.1,0.22,5.1680095289236085
QRC,45,0.07,0.1,0.3,4.71731197595392
QRC,45,0.07,0.12,0.0,0.0
QRC,45,0.07,0.12,0.05,6.6849346200624025
QRC,45,0.07,0.12,0.12,5.957877899266146
QRC,45,0.07,0.12,0.22,5.4395943560196045
QRC,45,0.07,0.12,0.3,4.720256992360394
QRC,45,0.07,0.16,0.0,0.0
QRC,45,0.07,0.16,0.05,7.084729647894144
QRC,45,0.07,0.16,0.12,5.651820174872892
QRC,45,0.07,0.16,0.22,4.93232854568732
QRC,45,0.07,0.16,0.3,4.588955323538375
QRC,45,0.07,0.28,0.0,0.0
QRC,45,0.07,0.28,0.05,6.126227520843891
QRC,45,0.07,0.28,0.12,5.406477729213167
QRC,45,0.07,0.28,0.22,4.536599238014082
QRC,45,0.07,0.28,0.3,3.927067218865055
QRC,45,0.07,0.42,0.0,0.0
QRC,45,0.07,0.42,0.05,7.2715546379691665
QRC,45,0.07,0.42,0.12,7.090173804621079
QRC,45,0.07,0.42,0.22,5.621571000307552
QRC,45,0.07,0.42,0.3,5.0574974835411
QRC,45,0.1,0.0,0.0,0.0
QRC,45,0.1,0.0,0.05,0.0
QRC,45,0.1,0.0,0.12,0.0
QRC,45,0.1,0.0,0.22,0.0
QRC,45,0.1,0.0,0.3,0.0
QRC,45,0.1,0.05,0.0,0.0
QRC,45,0.1,0.05,0.05,4.951992999896742
QRC,45,0.1,0.05,0.12,5.398743088012155
QRC,45,0.1,0.05,0.22,5.106880640519837
QRC,45,0.1,0.05,0.3,4.975933904776614
QRC,45,0.1,0.1,0.0,0.0
QRC,45,0.1,0.1,0.05,5.903294962549607
QRC,45,0.1,0.1,0.12,5.505149375920244
QRC,45,0.1,0.1,0.22,4.532044440827493
QRC,45,0.1,0.1,0.3,4.279212507917871
QRC,45,0.1,0.12,0.0,0.0
QRC,45,0.1,0.12,0.05,5.719983911363125
QRC,45,0.1,0.12,0.12,5.3193458563583125
QRC,45,0.1,0.12,0.22,4.836773657769824
QRC,45,0.1,0.12,0.3,4.3281540313419535
QRC,45,0.1,0.16,0.0,0.0
QRC,45,0.1,0.16,0.05,5.811842277565162
QRC,45,0.1,0.16,0.12,4.8257353504708345
QRC,45,0.1,0.16,0.22,4.380804572406698
QRC,45,0.1,0.16,0.3,3.997978652527559
QRC,45,0.1,0.28,0.0,0.0046117674215925
QRC,45,0.1,0.28,0.05,5.186462446384499
QRC,45,0.1,0.28,0.12,4.739456977770313
QRC,45,0.1,0.28,0.22,4.187707746037428
QRC,45,0.1,0.28,0.3,3.5877329174655666
QRC,45,0.1,0.42,0.0,0.0
QRC,45,0.1,0.42,0.05,6.174093947699567
QRC,45,0.1,0.42,0.12,6.058639969871251
QRC,45,0.1,0.42,0.22,5.054786046932097
QRC,45,0.1,0.42,0.3,4.632049107733554
QRC,45,0.22,0.0,0.0,0.0
QRC,45,0.22,0.0,0.05,0.0
QRC,45,0.22,0.0,0.12,0.0
QRC,45,0.22,0.0,0.22,0.0
QRC,45,0.22,0.0,0.3,0.0
QRC,45,0.22,0.05,0.0,0.0
QRC,45,0.22,0.05,0.05,2.024645336356377
QRC,45,0.22,0.05,0.12,2.7594556614407435
QRC,45,0.22,0.05,0.22,3.149662965735916
QRC,45,0.22,0.05,0.3,3.228030149915872
QRC,45,0.22,0.1,0.0,0.0
QRC,45,0.22,0.1,0.05,3.0955942975073345
QRC,45,0.22,0.1,0.12,3.3255706684342816
QRC,45,0.22,0.1,0.22,3.186542806387781
QRC,45,0.22,0.1,0.3,3.223952657768305
QRC,45,0.22,0.12,0.0,0.0
QRC,45,0.22,0.12,0.05,3.346839609844975
QRC,45,0.22,0.12,0.12,3.4996768808226904
QRC,45,0.22,0.12,0.22,3.268244661734176
QRC,45,0.22,0.12,0.3,3.226715542671177
QRC,45,0.22,0.16,0.0,0.0
QRC,45,0.22,0.16,0.05,3.1401971202859618
QRC,45,0.22,0.16,0.12,3.1189386481872714
QRC,45,0.22,0.16,0.22,2.7073561239774486
QRC,45,0.22,0.16,0.3,2.509497614113645
QRC,45,0.22,0.28,0.0,0.0
QRC,45,0.22,0.28,0.05,2.6369851987624444
QRC,45,0.22,0.28,0.12,2.8572580182378498
QRC,45,0.22,0.28,0.22,2.648085940090856
QRC,45,0.22,0.28,0.3,2.2799136451836706
QRC,45,0.22,0.42,0.0,0.0
QRC,45,0.22,0.42,0.05,2.8758538155441817
QRC,45,0.22,0.42,0.12,3.461759455624557
QRC,45,0.22,0.42,0.22,3.453093256017318
QRC,45,0.22,0.42,0.3,3.415564554717742
QRC,45,0.5,0.0,0.0,0.0
QRC,45,0.5,0.0,0.05,0.0
QRC,45,0.5,0.0,0.12,0.0
QRC,45,0.5,0.0,0.22,0.0
QRC,45,0.5,0.0,0.3,0.0
QRC,45,0.5,0.05,0.0,0.0
QRC,45,0.5,0.05,0.05,0.7263655582979709
QRC,45,0.5,0.05,0.12,1.0290667789047143
QRC,45,0.5,0.05,0.22,1.1926266965287755
QRC,45,0.5,0.05,0.3,1.317315835408973
QRC,45,0.5,0.1,0.0,0.0
QRC,45,0.5,0.1,0.05,1.2754752265935587
QRC,45,0.5,0.1,0.12,1.4048435688319554
QRC,45,0.5,0.1,0.22,1.5746908941886617
QRC,45,0.5,0.1,0.3,1.7113518551527171
QRC,45,0.5,0.12,0.0,0.0
QRC,45,0.5,0.12,0.05,1.2172030972011836
QRC,45,0.5,0.12,0.12,1.4110136510611473
QRC,45,0.5,0.12,0.22,1.5609107729996854
QRC,45,0.5,0.12,0.3,1.683016424594646
QRC,45,0.5,0.16,0.0,0.0
QRC,45,0.5,0.16,0.05,1.221785400524542
QRC,45,0.5,0.16,0.12,1.3806265981444228
QRC,45,0.5,0.16,0.22,1.5048169929052964
QRC,45,0.5,0.16,0.3,1.5258102792764272
QRC,45,0.5,0.28,0.0,0.0
QRC,45,0.5,0.28,0.05,0.9160030527055082
QRC,45,0.5,0.28,0.12,1.1293645611100631
QRC,45,0.5,0.28,0.22,1.226593282596958
QRC,45,0.5,0.28,0.3,1.2915407054544796
QRC,45,0.5,0.42,0.0,0.0036173824421772
QRC,45,0.5,0.42,0.05,0.968334225043527
QRC,45,0.5,0.42,0.12,1.1433232628707437
QRC,45,0.5,0.42,0.22,1.398657692439223
QRC,45,0.5,0.42,0.3,1.573534309216625
QRC,46,0.0,0.0,0.0,0.0
QRC,46,0.0,0.0,0.05,0.0
QRC,46,0.0,0.0,0.12,0.0
QRC,46,0.0,0.0,0.22,0.0
QRC,46,0.0,0.0,0.3,0.0
QRC,46,0.0,0.05,0.0,0.0
QRC,46,0.0,0.05,0.05,0.0
QRC,46,0.0,0.05,0.12,0.0
