config,task,seed,beta_pi,lambda_pi,gamma,mixer,input_mode,features,val_nmse,test_nmse,alpha
rxzzrx_u_b005_l080_g08,mackey_glass,42,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.000757251281539,0.0008732125708717,1e-08
rxzzrx_u_b005_l080_g08,narma10,42,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.1963477396275109,0.1879076189047547,1e-08
rxzzrx_u_b005_l080_g08,lorenz,42,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0009044092153061,0.0010661433592891,1e-08
rxzzrx_u_b005_l080_g08,sunspots_annual,42,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.1824211808232268,0.1748990235454154,1e-07
rxzzrx_u_b005_l080_g08,mackey_glass,43,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0003822957240724,0.0004255842231384,1e-08
rxzzrx_u_b005_l080_g08,narma10,43,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.1953663862681145,0.233407552481985,1e-08
rxzzrx_u_b005_l080_g08,lorenz,43,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0003528357697388,0.0005289729604094,1e-08
rxzzrx_u_b005_l080_g08,sunspots_annual,43,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.2003354873131247,0.1948958910398283,1e-06
rxzzrx_u_b005_l080_g08,mackey_glass,44,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0009421944262546,0.0011731504155349,1e-08
rxzzrx_u_b005_l080_g08,narma10,44,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.2333365744906179,0.2189366730976532,1e-08
rxzzrx_u_b005_l080_g08,lorenz,44,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0009559681157603,0.0011971049873375,1e-08
rxzzrx_u_b005_l080_g08,sunspots_annual,44,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.1634062164389795,0.1723867351856446,1e-08
rxzzrx_u_b005_l080_g08,mackey_glass,45,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0005057450541039,0.0004665283295323,1e-08
rxzzrx_u_b005_l080_g08,narma10,45,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.1861851993780189,0.2048884627014801,1e-08
rxzzrx_u_b005_l080_g08,lorenz,45,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0006382056767713,0.0007072295556386,1e-08
rxzzrx_u_b005_l080_g08,sunspots_annual,45,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.2122145529107158,0.2138245555432795,1e-08
rxzzrx_u_b005_l080_g08,mackey_glass,46,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0001729009983649,0.0002306220284053,1e-08
rxzzrx_u_b005_l080_g08,narma10,46,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.2487022530629142,0.2556116749285171,1e-08
rxzzrx_u_b005_l080_g08,lorenz,46,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0001872645984071,0.0002435850584355,1e-08
rxzzrx_u_b005_l080_g08,sunspots_annual,46,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.207187100602552,0.1996215761101053,1e-06
rxzzrx_u_b005_l080_g08,mackey_glass,47,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0001465441132214,0.0001580049398674,1e-08
rxzzrx_u_b005_l080_g08,narma10,47,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.1585470418061156,0.2075369495547881,1e-08
rxzzrx_u_b005_l080_g08,lorenz,47,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0001582867732405,0.000172818409873,1e-08
rxzzrx_u_b005_l080_g08,sunspots_annual,47,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.2087935980028607,0.2092344367807432,1e-06
rxzzrx_u_b005_l080_g08,mackey_glass,48,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.000135971036444,0.0001401668974421,1e-08
rxzzrx_u_b005_l080_g08,narma10,48,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.2047977777058168,0.1923816602960393,1e-07
rxzzrx_u_b005_l080_g08,lorenz,48,0.005,0.08,0.08,rx_zz_rx,uniform,16,9.111942190240316e-05,0.0001011642761499,1e-08
rxzzrx_u_b005_l080_g08,sunspots_annual,48,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.1887226538884761,0.1862490046651962,1e-07
rxzzrx_u_b005_l080_g08,mackey_glass,49,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0002445679200458,0.0003476583245363,1e-08
rxzzrx_u_b005_l080_g08,narma10,49,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.1779849052135012,0.2387600093668942,1e-08
rxzzrx_u_b005_l080_g08,lorenz,49,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0001671519595375,0.0003044123255722,1e-08
rxzzrx_u_b005_l080_g08,sunspots_annual,49,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.4085319085159178,0.2828076973083085,1e-08
rxzzrx_u_b005_l080_g08,mackey_glass,50,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0018312770131646,0.0020829001501708,1e-08
rxzzrx_u_b005_l080_g08,narma10,50,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.3133345504030996,0.2368210773183142,1e-08
rxzzrx_u_b005_l080_g08,lorenz,50,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.001816160245554,0.0020565007838609,1e-08
rxzzrx_u_b005_l080_g08,sunspots_annual,50,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.1868721002012159,0.2100724552329581,1e-08
rxzzrx_u_b005_l080_g08,mackey_glass,51,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0001659691941184,0.0001581015638499,1e-08
rxzzrx_u_b005_l080_g08,narma10,51,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.258114319520966,0.2797197560334745,1e-08
rxzzrx_u_b005_l080_g08,lorenz,51,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.0001926280197258,0.0001568525492668,1e-08
rxzzrx_u_b005_l080_g08,sunspots_annual,51,0.005,0.08,0.08,rx_zz_rx,uniform,16,0.2913832822542473,0.2734692891320472,1e-06
rxzzrx_u_b010_l050_g08,mackey_glass,42,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0002582798369517,0.0002559421418424,1e-08
rxzzrx_u_b010_l050_g08,narma10,42,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.2060951381008236,0.23055195147561,1e-08
rxzzrx_u_b010_l050_g08,lorenz,42,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.00057620052873,0.0007270695476655,1e-08
rxzzrx_u_b010_l050_g08,sunspots_annual,42,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.2037295593267035,0.1486699455330264,1e-07
rxzzrx_u_b010_l050_g08,mackey_glass,43,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0004103712743878,0.0004641002002886,1e-08
rxzzrx_u_b010_l050_g08,narma10,43,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.1682014957130733,0.1935666433272642,1e-08
rxzzrx_u_b010_l050_g08,lorenz,43,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0003971766711524,0.0004302386375104,1e-08
rxzzrx_u_b010_l050_g08,sunspots_annual,43,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.1784982329450614,0.1750675924495912,1e-06
rxzzrx_u_b010_l050_g08,mackey_glass,44,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0009388551415106,0.0010906936213541,1e-08
rxzzrx_u_b010_l050_g08,narma10,44,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.2506818555188773,0.2236101621419304,1e-08
rxzzrx_u_b010_l050_g08,lorenz,44,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0008929429556491,0.0010309919950118,1e-08
rxzzrx_u_b010_l050_g08,sunspots_annual,44,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.1705410968786386,0.225221711290792,1e-07
rxzzrx_u_b010_l050_g08,mackey_glass,45,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0004488081931235,0.0004926586170795,1e-08
rxzzrx_u_b010_l050_g08,narma10,45,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.272693223954948,0.2857530562967942,1e-08
rxzzrx_u_b010_l050_g08,lorenz,45,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0004207795810748,0.0005263994432573,1e-08
rxzzrx_u_b010_l050_g08,sunspots_annual,45,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.1929685835704217,0.1766191212336506,1e-08
rxzzrx_u_b010_l050_g08,mackey_glass,46,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0002320368224204,0.0002972401875852,1e-08
rxzzrx_u_b010_l050_g08,narma10,46,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.1910551184473576,0.161109373975984,1e-08
rxzzrx_u_b010_l050_g08,lorenz,46,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0002297441900315,0.0002615260920057,1e-08
rxzzrx_u_b010_l050_g08,sunspots_annual,46,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.2257574981641368,0.2010308063991557,1e-06
rxzzrx_u_b010_l050_g08,mackey_glass,47,0.01,0.05,0.08,rx_zz_rx,uniform,16,9.1228717906381e-05,9.180052018909316e-05,1e-08
rxzzrx_u_b010_l050_g08,narma10,47,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.174140798589404,0.1780127892405588,1e-07
rxzzrx_u_b010_l050_g08,lorenz,47,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0001091796596764,0.0001225082014157,1e-08
rxzzrx_u_b010_l050_g08,sunspots_annual,47,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.2265784690375953,0.1707492553933661,1e-06
rxzzrx_u_b010_l050_g08,mackey_glass,48,0.01,0.05,0.08,rx_zz_rx,uniform,16,9.415795044099484e-05,9.976616182754342e-05,1e-08
rxzzrx_u_b010_l050_g08,narma10,48,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.2622139328258604,0.1948635465395542,1e-07
rxzzrx_u_b010_l050_g08,lorenz,48,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0001872866800702,0.0001933421986159,1e-08
rxzzrx_u_b010_l050_g08,sunspots_annual,48,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.2151211790942894,0.1699636374017577,1e-06
rxzzrx_u_b010_l050_g08,mackey_glass,49,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0002065027183602,0.0002579626253122,1e-08
rxzzrx_u_b010_l050_g08,narma10,49,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.1815633014080845,0.2506863636368691,1e-08
rxzzrx_u_b010_l050_g08,lorenz,49,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0001627590225932,0.0001895949539037,1e-08
rxzzrx_u_b010_l050_g08,sunspots_annual,49,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.4144017917410998,0.2873142198032924,1e-08
rxzzrx_u_b010_l050_g08,mackey_glass,50,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0006700481809909,0.0008575015955987,1e-08
rxzzrx_u_b010_l050_g08,narma10,50,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.2549539150632012,0.2297514203973037,1e-08
rxzzrx_u_b010_l050_g08,lorenz,50,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0012530578168118,0.0014810704468128,1e-08
rxzzrx_u_b010_l050_g08,sunspots_annual,50,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.1899648124599285,0.1748145858961793,1e-07
rxzzrx_u_b010_l050_g08,mackey_glass,51,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0003033670442614,0.0003500412855598,1e-08
rxzzrx_u_b010_l050_g08,narma10,51,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.220518789739156,0.2159019981499552,1e-08
rxzzrx_u_b010_l050_g08,lorenz,51,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.0003026397553204,0.0003050959880575,1e-08
rxzzrx_u_b010_l050_g08,sunspots_annual,51,0.01,0.05,0.08,rx_zz_rx,uniform,16,0.2372985014224856,0.1395634078039904,1e-06
rxzzrx_u_b005_l050_g12,mackey_glass,42,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0003769349423562,0.0004046835681225,1e-08
rxzzrx_u_b005_l050_g12,narma10,42,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.2122654299471152,0.2317965263188044,1e-08
rxzzrx_u_b005_l050_g12,lorenz,42,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0007168727832146,0.0008278605728453,1e-08
rxzzrx_u_b005_l050_g12,sunspots_annual,42,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.2052046232659828,0.1470817579968655,1e-07
rxzzrx_u_b005_l050_g12,mackey_glass,43,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0004966072760138,0.0005540101901556,1e-08
rxzzrx_u_b005_l050_g12,narma10,43,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.2343812778494783,0.252291531954554,1e-08
rxzzrx_u_b005_l050_g12,lorenz,43,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0005796124709616,0.0007327975123651,1e-08
rxzzrx_u_b005_l050_g12,sunspots_annual,43,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.1914792073302016,0.1822873482249526,1e-06
rxzzrx_u_b005_l050_g12,mackey_glass,44,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0013849766998742,0.0017104314566187,1e-08
rxzzrx_u_b005_l050_g12,narma10,44,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.2323474582505277,0.2562169830050212,1e-08
rxzzrx_u_b005_l050_g12,lorenz,44,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0011357726552205,0.0014588046468035,1e-08
rxzzrx_u_b005_l050_g12,sunspots_annual,44,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.1761242188790249,0.1983052498154614,1e-07
rxzzrx_u_b005_l050_g12,mackey_glass,45,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0007933901032079,0.0007142192298727,1e-08
rxzzrx_u_b005_l050_g12,narma10,45,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.2929116066399845,0.3156836068669111,1e-08
rxzzrx_u_b005_l050_g12,lorenz,45,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0007843603373102,0.000943245645247,1e-08
rxzzrx_u_b005_l050_g12,sunspots_annual,45,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.1929721972472217,0.1718060270668368,1e-07
rxzzrx_u_b005_l050_g12,mackey_glass,46,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0002257054443327,0.0003113403791298,1e-08
rxzzrx_u_b005_l050_g12,narma10,46,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.1663264333768832,0.178996222788552,1e-08
rxzzrx_u_b005_l050_g12,lorenz,46,0.005,0.05,0.12,rx_zz_rx,uniform,16,0.0002282728500346,0.0002764605224277,1e-08
